Ship Date,Forecast Qty,SO Quantity,Account Manager,Parent,Item,Item Description
2022-01-03T00:00:00,,,Vance Jensen,Walmart,5153,DELUXE TACO RACK
2022-01-03T00:00:00,,256,Vance Jensen,Walmart,5249,Natural Gas Conversion Kit - Large items (WM)
2022-01-03T00:00:00,,1280,Vance Jensen,Walmart,5236,Griddle Press: Large
2022-01-03T00:00:00,,432,Vance Jensen,Walmart,5163,Side Shelf Cutting Board-Large Units
2022-01-03T00:00:00,,1410,Vance Jensen,Walmart,4123,4123 Blackstone Griddle Spray
2022-01-03T00:00:00,,1596,Vance Jensen,Walmart,4122,"4122 Blackstone Tequila Lime Seasoning, 7.4 ounces"
2022-01-03T00:00:00,,2280,Vance Jensen,Walmart,4121,"4121 Blackstone Whiskey Burger Seasoning, 9.6 ounces"
2022-01-03T00:00:00,,,Vance Jensen,Walmart,5114,Knit Griddle Gloves with Silicone Grip- 2 Pack
2022-01-03T00:00:00,,400,Vance Jensen,Walmart,5280,Heavy-Duty Scraper with Signature Series Handle
2022-01-03T00:00:00,,600,Vance Jensen,Walmart,5227,Angle Scraper - 5-inch
2022-01-03T00:00:00,,144,Vance Jensen,Walmart,5154,Stainless Braided Hose Regulator (2LBS)
2022-01-03T00:00:00,,,Vance Jensen,Walmart,4114,GRIDDLE SEASONING & CONDITIONER
2022-01-03T00:00:00,,900,Vance Jensen,Walmart,5237,"BLKST SM GRIDDLE PRESS
"
2022-01-03T00:00:00,,504,Vance Jensen,Walmart,5073,"BLKST SQUEEZE BOTTLES
"
2022-01-03T00:00:00,,3192,Vance Jensen,Walmart,4106,"Blackstone Parmesan Ranch Seasoning, 7.30 ounces"
2022-01-03T00:00:00,,2070,Vance Jensen,Walmart,4104,"Blackstone Cheesesteak Seasoning, 7.3 ounces"
2022-01-03T00:00:00,,,Vance Jensen,Walmart,5471,Propane Tank Adapter Hose with Regulator
2022-01-03T00:00:00,,210,Vance Jensen,Walmart,5303,Tote and Container System
2022-01-03T00:00:00,,2040,Vance Jensen,Walmart,4138,Griddle Degreaser Cleaner
2022-01-03T00:00:00,,159,Vance Jensen,Walmart,4200,Griddle Ready Sear & Serve - Sesame Teriyaki
2022-01-03T00:00:00,,135,Vance Jensen,Walmart,4202,Griddle Ready Sear & Serve - Loaded Italian
2022-01-03T00:00:00,,672,Vance Jensen,Walmart,5473,Signature Series Chef Knife
2022-01-03T00:00:00,,258,Vance Jensen,Walmart,4201,Griddle Ready Sear & Serve - Korean Sweet Fire
2022-01-03T00:00:00,,144,Vance Jensen,Walmart,5478,Collapsible Silicone Basting Cover
2022-01-03T00:00:00,,480,Vance Jensen,Walmart,8203,E-series 3 pc Griddle Tool Kit
2022-01-03T00:00:00,,630,Vance Jensen,Walmart,5400,Infrared Thermometer and Probe Combo
2023-04-03T00:00:00,,,Vance Jensen,Walmart,5003,"BLACKSTONE 28"" HARD COVER"
2023-04-03T00:00:00,,,Vance Jensen,Walmart,1891,Adventure Ready 22in Griddle w/ Hood and Stand Bundle
2023-04-04T00:00:00,,,Vance Jensen,Walmart,2008,ProSeries 28in XL Rangetop Griddle
2023-06-28T00:00:00,,,,Walmart,RP 8800203,RP 8800203 -- Side Shelf Peg
2023-06-28T00:00:00,,,,Walmart,RP 8000005,RP 8000005 -- M4X10 Screw
2023-06-28T00:00:00,,,,Walmart,RP 90031,RP 90031 -- M6x12 Screw
2023-06-28T00:00:00,,,,Walmart,RP 8000032,RP 8000032 -- M6 Shoulder Bolt
2023-06-28T00:00:00,,,,Walmart,RP 8000043,RP 8000043 -- Small Thumbscrew(M6X12)
2023-06-28T00:00:00,,,,Walmart,RP 8000057,RP 8000057 -- Side Shelf Peg Washer
2023-06-28T00:00:00,,,,Walmart,RP 8000044,RP 8000044 -- Large Thumbscrew(M6X60)
2023-06-28T00:00:00,,,,Walmart,RP 8000042,RP 8000042 -- Medium Thumbscrew(M6X40)
2023-06-28T00:00:00,,,,Walmart,RP 8000004,RP 8000004 -- Leg/Clevis Pin(37mm)
2023-06-28T00:00:00,,,,Walmart,RP 8000045,RP 8000045 -- Cotter Pin
2023-06-28T00:00:00,,,,Walmart,RP 8800008,RP 8800008 -- Black Steel Washer
2023-06-28T00:00:00,,,,Walmart,RP 90033,RP 90033 -- M12 Lock Washer
